raw_file,sheet,sample_identifier,sample_base_identifier,tissue_feather_type,isotope,raw_source_sheet_rows,raw_values,adjudicated_value,final_action,reason,evidence_source,decision_class,rule_basis,notes
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16446_2024-10-21_breast feather,CP16446_2024-10-21_breast feather,Breast,normalised_d15n,18|19|20,11.190390471439816|11.260395567060346|10.022728325373881,11.225393019250081,replace_with_average,Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 18. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16446_2024-10-21_breast feather,CP16446_2024-10-21_breast feather,Breast,normalised_d13c,18|19|20,-15.307674967233588|-17.343301108229188|-15.496840458195559,-15.402257712714572,replace_with_average,Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 18. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16470_2024-10-08_breast feather,CP16470_2024-10-08_breast feather,Breast,normalised_d15n,24|25,12.002813056917539|11.615328425821065,11.809070741369302,replace_with_average,Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 24. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16470_2024-10-08_breast feather,CP16470_2024-10-08_breast feather,Breast,normalised_d13c,24|25,-19.995386753829706|-20.37565786371139,-20.185522308770548,replace_with_average,Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 24. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16533_2024-10-11_breast feather,CP16533_2024-10-11_breast feather,Breast,normalised_d15n,33|34,10.534786691378088|10.287355201423718,10.411070946400903,replace_with_average,Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 33. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16533_2024-10-11_breast feather,CP16533_2024-10-11_breast feather,Breast,normalised_d13c,33|34,-24.06278495487194|-24.022545390238154,-24.042665172555047,replace_with_average,Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 33. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16543_2024-10-04_primary feather,CP16543_2024-10-04_primary feather,Primary,normalised_d15n,41|42,11.643647405803474|11.736328264034945,11.68998783491921,replace_with_average,Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 41. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16543_2024-10-04_primary feather,CP16543_2024-10-04_primary feather,Primary,normalised_d13c,41|42,-16.43110934367645|-16.145469818439047,-16.288289581057747,replace_with_average,Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 41. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16627_2024-10-01_breast feather,CP16627_2024-10-01_breast feather,Breast,normalised_d15n,45|46,13.881603519224054|14.111958420967483,13.996780970095768,replace_with_average,Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 45. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16627_2024-10-01_breast feather,CP16627_2024-10-01_breast feather,Breast,normalised_d13c,45|46,-21.259250427327927|-21.325661990096673,-21.292456208712302,replace_with_average,Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 45. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16693_2024-09-30_breast feather,CP16693_2024-09-30_breast feather,Breast,normalised_d15n,78|79,9.80532631263657|10.393230059860862,10.393230059860862,keep,Repeat-analysis comment explicitly instructs use of the N value from this assay row.,comment column|green raw,rule_based,comment_use_these,Selected source row 79 for normalised_d15n.
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16693_2024-09-30_breast feather,CP16693_2024-09-30_breast feather,Breast,normalised_d13c,78|79,-24.195131990226272|-23.990307710445652,-23.990307710445652,keep,Repeat-analysis comment explicitly instructs use of the C value from this assay row.,comment column|green raw,rule_based,comment_use_these,Selected source row 79 for normalised_d13c.
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16962_2024-12-04_breast feather,CP16962_2024-12-04_breast feather,Breast,normalised_d15n,97|98,11.993707448861127|11.111162433263225,11.111162433263225,keep,Repeat-analysis comment explicitly instructs use of the N value from this assay row.,comment column|green raw,rule_based,comment_use_these,Selected source row 98 for normalised_d15n.
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16962_2024-12-04_breast feather,CP16962_2024-12-04_breast feather,Breast,normalised_d13c,97|98,-16.06134587085443|-16.56858936571563,-16.56858936571563,keep,Repeat-analysis comment explicitly instructs use of the C value from this assay row.,comment column|green raw,rule_based,comment_use_these,Selected source row 98 for normalised_d13c.
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP17010_2024-10-16_primary feather,CP17010_2024-10-16_primary feather,Primary,normalised_d15n,103|104,7.021033715831219|6.262093916841935,6.262093916841935,keep,Repeat-analysis comment explicitly instructs use of the N value from this assay row.,comment column|green raw,rule_based,comment_use_these,Selected source row 104 for normalised_d15n.
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP17010_2024-10-16_primary feather,CP17010_2024-10-16_primary feather,Primary,normalised_d13c,103|104,-23.74050476954346|-23.683042324923367,-23.683042324923367,keep,Repeat-analysis comment explicitly instructs use of the C value from this assay row.,comment column|green raw,rule_based,comment_use_these,Selected source row 104 for normalised_d13c.
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP19350_2024-09-30_primary feather,CP19350_2024-09-30_primary feather,Primary,normalised_d15n,125|126,15.279820222997675|15.300781831418863,15.290301027208269,replace_with_average,Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 125. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP19350_2024-09-30_primary feather,CP19350_2024-09-30_primary feather,Primary,normalised_d13c,125|126,-20.393438142605326|-20.430058948361232,-20.411748545483277,replace_with_average,Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.,sheet note|green average,rule_based,sheet_note_green_average,"Average stored on source row 125. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green."
data/Master_TCEA_O_SI_Breast Feathers_Replication_Batch 4_LEH_Sept25_SB.xls,Sample results_O,AV21986_A feather,AV21986_A feather,Breast,normalised_d18o,9,21.903794824552378,,exclude,"Low voltage, do not use d18O",sheet note|red font|comment column,rule_based,sheet_note_red_font_exclusion,do not use values in red font
data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,AV705_D feather,AV705_D feather,Breast,normalised_d2h,21,15.852193864171413,,exclude,do not use data - voltage too low,sheet note|red font|comment column,rule_based,sheet_note_red_font_exclusion,do not use values in red font
