"ring","sex","status","status_bin","status_known","sampling_location_general","sampling_location_specific","sampling_site_label","longitude_capture","latitude_capture","tag_id_adjusted","migratory_status_comment","source_phenotype_row_ids","n_tissues_present","tissues_present","has_any_pending_manual_qc","pending_manual_qc_reasons_any","normalised_d13c_Breast","normalised_d13c_Primary","normalised_d15n_Breast","normalised_d15n_Primary","normalised_d2h_Breast","normalised_d2h_Primary","cn_mass_ratio_Breast","cn_mass_ratio_Primary","amount_mg_mean_Breast","amount_mg_mean_Primary","n_assays_Breast","n_assays_Primary","n_unique_samples_Breast","n_unique_samples_Primary","source_measurement_ids_Breast","source_measurement_ids_Primary","source_measurement_ids_model_Breast","source_measurement_ids_model_Primary","has_pending_manual_qc_Breast","has_pending_manual_qc_Primary","pending_manual_qc_reasons_Breast","pending_manual_qc_reasons_Primary","has_breast","has_primary","has_breast_d2h","has_primary_d2h","has_paired_h","has_complete_cn_pair","has_complete_cnh_pair","has_pending_manual_qc","pending_manual_qc_reasons","delta_d13c_breast_minus_primary","delta_d15n_breast_minus_primary"
"CP16938","M","NI migrant","migrant",TRUE,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert",175.727142,-39.291327,,"Resighting at Omaha Spit, North Island on March 15","live_pheno_036|live_pheno_043",2,"Breast|Primary",FALSE,,-11.7732858837485,-24.5751595556081,13.0505573731248,4.03031000921216,5.92872165565658,-15.7371655440715,3.47017582461009,3.37871813694405,0.215,0.217,2,2,2,2,"live_measurement_0151|live_measurement_0152|live_measurement_0387","live_measurement_0153|live_measurement_0154|live_measurement_0388","live_measurement_0151|live_measurement_0152|live_measurement_0387","live_measurement_0153|live_measurement_0154|live_measurement_0388",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,12.8018736718596,9.02024736391264
"CP16945","M","NI migrant","migrant",TRUE,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert",175.702629005536,-39.379794029519,,"Resighting at Omaha Spit, North Island on Jan 12","live_pheno_037|live_pheno_044",2,"Breast|Primary",FALSE,,-11.7238269708072,-24.6080177935943,13.2076893499419,4.96402290137249,6.53339665206986,-16.5460744738314,3.49665768443661,3.45453233485409,0.2245,0.2125,2,2,2,2,"live_measurement_0155|live_measurement_0156|live_measurement_0389","live_measurement_0157|live_measurement_0158|live_measurement_0390","live_measurement_0155|live_measurement_0156|live_measurement_0389","live_measurement_0157|live_measurement_0158|live_measurement_0390",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,12.8841908227871,8.24366644856944
"CP16953","M","NI migrant","migrant",TRUE,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert",175.700161037967,-39.3611319735646,,"Resighting at Karaka, North Island on July 20","live_pheno_038|live_pheno_045",2,"Breast|Primary",FALSE,,-11.1905850372296,-24.7953238387897,18.6186586293908,6.09923939600272,3.99308970394748,-22.6027586527885,3.33228931606423,3.33030835414537,0.264,0.199,2,2,2,2,"live_measurement_0159|live_measurement_0160|live_measurement_0391","live_measurement_0161|live_measurement_0162|live_measurement_0392","live_measurement_0159|live_measurement_0160|live_measurement_0391","live_measurement_0161|live_measurement_0162|live_measurement_0392",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,13.6047388015601,12.5194192333881
"CP16958","F","NI migrant","migrant",TRUE,"South Island, New Zealand","Napier, Hawkes Bay","Napier",176.92653497681,-39.5726949814707,,"Resighting at Miranda, North Island on May 17","live_pheno_039|live_pheno_046",2,"Breast|Primary",FALSE,,-15.333309301501,-23.3505356424689,15.8617503104097,12.5582551483587,-19.3472246308733,-35.7726947877325,3.40582247818053,3.35388413130818,0.1805,0.2225,2,2,2,2,"live_measurement_0163|live_measurement_0164|live_measurement_0393","live_measurement_0165|live_measurement_0166|live_measurement_0394","live_measurement_0163|live_measurement_0164|live_measurement_0393","live_measurement_0165|live_measurement_0166|live_measurement_0394",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,8.01722634096787,3.30349516205102
"CP16990","M","NI migrant","migrant",TRUE,"South Island, New Zealand","Napier, Hawkes Bay","Napier",176.930825,-39.575394,,"Resighting at Kaipara Harbour, North Island on Feb 24","live_pheno_040|live_pheno_047",2,"Breast|Primary",FALSE,,-12.5570174920222,-21.3171321356814,13.8936712460448,11.1108014579245,-3.16996835110101,-11.1621856176019,3.47063194603221,3.33290016986395,0.198,0.202,2,2,2,2,"live_measurement_0177|live_measurement_0178|live_measurement_0399","live_measurement_0179|live_measurement_0180|live_measurement_0400","live_measurement_0177|live_measurement_0178|live_measurement_0399","live_measurement_0179|live_measurement_0180|live_measurement_0400",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,8.76011464365914,2.78286978812032
"CP17010","M","resident","resident",TRUE,"South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point",168.425144,-46.604315,"266397","PTT revealed that the bird remained at the Awarua Bay / Tiwai Point the full year","live_pheno_080|live_pheno_102",2,"Breast|Primary",FALSE,,-20.7990391206713,-23.6830423249234,8.32593463371651,6.26209391684193,-10.8621226749196,-12.0894925276413,3.41907042465633,3.3266523913021,0.2775,0.2605,2,2,2,2,"live_measurement_0181|live_measurement_0182|live_measurement_0401","live_measurement_0183|live_measurement_0185|live_measurement_0184|live_measurement_0186|live_measurement_0402","live_measurement_0181|live_measurement_0182|live_measurement_0401","live_measurement_0185|live_measurement_0186|live_measurement_0402",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,2.88400320425209,2.06384071687458
"CP17011","F","SI migrant","migrant",TRUE,"South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point",168.425144,-46.604315,"266413","PTT revealed that the bird left the breeding grounds at Tiwai Point in early Dec and went to Toetoe Harbour near the Mataura River Mouth where it stayed until June, when it returned to Tiwai Point / Awarua Bay","live_pheno_053|live_pheno_063",2,"Breast|Primary",FALSE,,-16.8007345467439,-22.5847413462965,13.2755885769215,7.86987873353459,-13.8562071586242,-25.8318358866134,3.30938878617553,3.37099817139148,0.2395,0.2055,2,2,2,2,"live_measurement_0187|live_measurement_0188|live_measurement_0403","live_measurement_0189|live_measurement_0190|live_measurement_0404","live_measurement_0187|live_measurement_0188|live_measurement_0403","live_measurement_0189|live_measurement_0190|live_measurement_0404",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,5.78400679955261,5.40570984338694
"CP19311","M","SI migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.146284,-43.725414,"266375","PTT revealed that the bird left the breeding grounds at Tasman Valley and flew to the Hunter River Mouth (Lake Hawea) in mid-Feb and wintered there until early Aug before returning to the Tasman Valley (Glentanner to stage for a couple weeks, then to breeding site)","live_pheno_054|live_pheno_064",2,"Breast|Primary",FALSE,,-22.5401886120996,-23.2344802623803,8.16879707947654,5.47167080546321,-67.5925063450784,-30.7820163099934,3.30554836394745,3.41718181661793,0.243,0.22,2,2,2,2,"live_measurement_0199|live_measurement_0200|live_measurement_0409","live_measurement_0201|live_measurement_0203|live_measurement_0202|live_measurement_0204|live_measurement_0410","live_measurement_0199|live_measurement_0200|live_measurement_0409","live_measurement_0201|live_measurement_0203|live_measurement_0202|live_measurement_0204|live_measurement_0410",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,0.69429165028065,2.69712627401333
"CP19312","F","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.145122,-43.729755,"266441","PTT revealed this bird migrating to west of Lake Martin, inland Victoria (arrival: July 2) BUT left Tasman Valley breeding grounds in early Dec to stay at Awarua Bay until mid May when it flew to AU","live_pheno_012|live_pheno_029",2,"Breast|Primary",FALSE,,-20.1365264153173,-22.7393146013286,15.7489177714583,7.50565441127808,-5.76406501795435,-6.65958180830863,3.33430696906379,3.36410491481139,0.2055,0.213,2,2,2,2,"live_measurement_0205|live_measurement_0206|live_measurement_0411","live_measurement_0207|live_measurement_0208|live_measurement_0412","live_measurement_0205|live_measurement_0206|live_measurement_0411","live_measurement_0207|live_measurement_0208|live_measurement_0412",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,2.60278818601131,8.24326336018024
"CP19314","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.144119,-43.736765,"266442","PTT revealed this bird migrating to the Great Musselroe River, Inland NE Tasmania (arrival: April 24)","live_pheno_013|live_pheno_030",2,"Breast|Primary",FALSE,,-20.9353793877792,-22.7451701926486,9.11276685224496,3.88852044699003,-4.50714443967175,-21.4992239248411,3.48108523354187,3.48440487722421,0.182,0.201,2,2,2,2,"live_measurement_0209|live_measurement_0210|live_measurement_0413","live_measurement_0211|live_measurement_0212|live_measurement_0414","live_measurement_0209|live_measurement_0210|live_measurement_0413","live_measurement_0211|live_measurement_0212|live_measurement_0414",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,1.8097908048694,5.22424640525494
"CP19327","M","SI migrant","migrant",TRUE,"South Island, New Zealand","Porters Beach, Abel Tasman National Park","Porters Beach",173.011575,-40.993306,"266421","PTT revealed that the bird left the breeding grounds at Porter's Beach in late February and wintered at the Waimea Inlet until early August","live_pheno_055|live_pheno_065",2,"Breast|Primary",FALSE,,-14.7462971530249,-14.4092252688807,14.2859172518353,10.132253774983,-10.4885647577129,-23.2736295650277,3.38331996529757,3.31591810647378,0.2485,0.288,2,2,2,2,"live_measurement_0213|live_measurement_0214|live_measurement_0415","live_measurement_0215|live_measurement_0216|live_measurement_0416","live_measurement_0213|live_measurement_0214|live_measurement_0415","live_measurement_0215|live_measurement_0216|live_measurement_0416",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-0.337071884144162,4.15366347685232
"CP19340","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.14463,-43.734073,"266393","PTT revealed this bird migrating to coastal Victoria near Lake Wellington (arrival: late March), but PTT stopped transmitting right before arrival","live_pheno_014|live_pheno_031",2,"Breast|Primary",FALSE,,-23.1370222195958,-24.1378607729583,12.2141638963432,3.1426274682581,3.25806710111963,-26.5785510156445,3.39590848907457,3.5218612875793,0.1725,0.24,2,2,2,2,"live_measurement_0217|live_measurement_0218|live_measurement_0417","live_measurement_0219|live_measurement_0220|live_measurement_0418","live_measurement_0217|live_measurement_0218|live_measurement_0417","live_measurement_0219|live_measurement_0220|live_measurement_0418",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,1.00083855336249,9.07153642808507
"CP19346","M","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.431853,-43.845691,"266459","PTT revealed that the bird remained at Lake Ellesmere / Kaitorete Spit the full year","live_pheno_081|live_pheno_103",2,"Breast|Primary",FALSE,,-23.6106784068077,-21.4089644128114,11.4762590619618,13.9745906479413,-11.4546469831619,-10.5715366479889,3.50032160664922,3.43371488382347,0.191,0.183,2,2,2,2,"live_measurement_0221|live_measurement_0222|live_measurement_0419","live_measurement_0223|live_measurement_0224|live_measurement_0420","live_measurement_0221|live_measurement_0222|live_measurement_0419","live_measurement_0223|live_measurement_0224|live_measurement_0420",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-2.20171399399631,-2.49833158597948
"CP19350","F","SI migrant","migrant",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.591216,-43.832075,"266387","PTT revealed that the bird left the breeding grounds at Birdlings Flat in early May and went to the agricultural fields near the Rakaia River where it stayed until late July, when it returned to Birdling's Flat","live_pheno_056|live_pheno_066",2,"Breast|Primary",FALSE,,-22.9932864768683,-20.4117485454833,10.2356874401532,15.2903010272083,-14.5679577035717,-4.90486384322455,3.36637403590901,3.36542626136903,0.2255,0.2135,2,2,2,2,"live_measurement_0225|live_measurement_0226|live_measurement_0421","live_measurement_0227|live_measurement_0229|live_measurement_0228|live_measurement_0230|live_measurement_0422","live_measurement_0225|live_measurement_0226|live_measurement_0421","live_measurement_0227|live_measurement_0229|live_measurement_0228|live_measurement_0230|live_measurement_0422",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-2.58153793138503,-5.05461358705509
"CP19360","F","SI migrant","migrant",TRUE,"South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit",173.030661,-41.11765,"266403","PTT revealed that the bird left the breeding grounds at Porter's Beach shortly after deployment, when it jumped between to the Wainui Inlet and Motueka Spit and the Motueka River Mouth","live_pheno_057|live_pheno_067",2,"Breast|Primary",FALSE,,-15.6494167356104,-12.5071712878275,9.64897104177514,8.99088025870186,-27.747857656815,-26.0340508030579,3.4836008419276,3.39460799643214,0.202,0.2545,2,2,2,2,"live_measurement_0231|live_measurement_0232|live_measurement_0423","live_measurement_0233|live_measurement_0234|live_measurement_0424","live_measurement_0231|live_measurement_0232|live_measurement_0423","live_measurement_0233|live_measurement_0234|live_measurement_0424",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-3.14224544778299,0.65809078307328
"CP19361","M","resident","resident",TRUE,"South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit",173.033468,-41.123473,"266469","PTT revealed that the bird remained at Motueka Spit the full year","live_pheno_082|live_pheno_104",2,"Breast|Primary",FALSE,,-13.9185362373694,-18.6217265975006,13.103579897515,12.068069487138,-21.3772879516674,-3.64141395177048,3.54154995621103,4.692646616758,0.1985,0.2415,2,2,2,2,"live_measurement_0235|live_measurement_0236|live_measurement_0425","live_measurement_0237|live_measurement_0238|live_measurement_0426","live_measurement_0235|live_measurement_0236|live_measurement_0425","live_measurement_0237|live_measurement_0238|live_measurement_0426",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,4.70319036013115,1.035510410377
"CP19365","F","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.143352,-43.73679,"266434","PTT revealed this bird leaving Tasman Valley to stage at Loganburn Reservoir (Central Otago) from mid-Jan to mid-April before migrating to inland South Australia (near Lake Hawdon)","live_pheno_015|live_pheno_032",2,"Breast|Primary",FALSE,,-23.3101243339637,-22.7946566599693,11.322927655372,3.98038410702127,15.6787653351278,-26.0724867731009,3.35339637335356,3.5212597998533,0.1835,0.176,2,2,2,2,"live_measurement_0313|live_measurement_0314|live_measurement_0427","live_measurement_0315|live_measurement_0316|live_measurement_0428","live_measurement_0313|live_measurement_0314|live_measurement_0427","live_measurement_0315|live_measurement_0316|live_measurement_0428",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-0.515467673994461,7.34254354835078
"CP19366","F","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.144062,-43.736643,"266429","PTT revealed this bird leaving Tasman Valley to stage at the Waitaki River gorge (Central Otago) for several weeks in early March before migrating to the Aire River Mouth (Victoria) for a week then moving to the mud flats near Robbins Island (Tasmania) where it stayed from early April to early October","live_pheno_016|live_pheno_033",2,"Breast|Primary",FALSE,,-13.6699580427845,-24.0318183429855,10.7163868306164,2.68630472223335,-3.06216382712083,-30.374107527047,3.46833144840813,3.52449688381776,0.203,0.196,2,2,2,2,"live_measurement_0239|live_measurement_0240|live_measurement_0429","live_measurement_0241|live_measurement_0242|live_measurement_0430","live_measurement_0239|live_measurement_0240|live_measurement_0429","live_measurement_0241|live_measurement_0242|live_measurement_0430",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,10.3618603002009,8.03008210838307
"CP19368","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",173.0307,-41.11812,"266379","PTT revealed this bird leaving Tasman Valley in mid-March, but bailing and returning to the South Island and staging at the intersection of the Maraura and Waikaia Rivers for 2 weeks. Then it tried again to migrate but bailed and returned to the same staging spot for 2 weeks. 3rd attempt succefully landed at the beaches near Piccaninny Creek Mouth (Tasmania)","live_pheno_017|live_pheno_034",2,"Breast|Primary",FALSE,,-23.9349596678529,-23.7243402461414,11.5187906958187,3.42735373623361,2.60262477330125,-19.8818909409293,3.40778470950065,3.42519858227264,0.222,0.261,2,2,2,2,"live_measurement_0243|live_measurement_0244|live_measurement_0431","live_measurement_0245|live_measurement_0246|live_measurement_0432","live_measurement_0243|live_measurement_0244|live_measurement_0431","live_measurement_0245|live_measurement_0246|live_measurement_0432",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-0.210619421711499,8.09143695958509
"CP19371","F","resident","resident",TRUE,"South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit",173.031797,-41.120263,"266432","PTT revealed that the bird remained at Motueka Spit the full year","live_pheno_083|live_pheno_105",2,"Breast|Primary",FALSE,,-12.4035084505378,-18.2752292873183,13.4932655104738,11.6060664076581,-22.0604717762451,-2.68696017250742,3.45467873997142,3.63917272270048,0.207,0.1755,2,2,2,2,"live_measurement_0247|live_measurement_0248|live_measurement_0433","live_measurement_0249|live_measurement_0250|live_measurement_0434","live_measurement_0247|live_measurement_0248|live_measurement_0433","live_measurement_0249|live_measurement_0250|live_measurement_0434",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,5.87172083678052,1.88719910281572
"CP19907","F","resident","resident",TRUE,"South Island, New Zealand","Te Anau, Southland","Te Anau",167.746751,-45.414278,,"Resighting at Upukeroa River on Feb 18 (potential resident)","live_pheno_084|live_pheno_106",2,"Breast|Primary",FALSE,,-22.1134454329775,-24.0742353149746,11.3039454995212,8.62449152881804,-14.3435048647567,-64.2934880222648,3.41590074228331,3.48893067345576,0.193,0.198,2,2,2,2,"live_measurement_0259|live_measurement_0260|live_measurement_0439","live_measurement_0261|live_measurement_0262|live_measurement_0440","live_measurement_0259|live_measurement_0260|live_measurement_0439","live_measurement_0261|live_measurement_0262|live_measurement_0440",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,1.96078988199713,2.67945397070318
"CP19908","F","resident","resident",TRUE,"South Island, New Zealand","Te Anau, Southland","Te Anau",167.745905,-45.414044,,"Resighting at Upukeroa River on Jul 25 (potential resident)","live_pheno_085|live_pheno_107",2,"Breast|Primary",FALSE,,-17.4723366032384,-19.9847977461447,10.1721944967357,8.08425151611874,-10.3039561166372,-10.5661802016251,3.39529674753353,3.35289229341751,0.1905,0.231,2,2,2,2,"live_measurement_0263|live_measurement_0264|live_measurement_0441","live_measurement_0265|live_measurement_0266|live_measurement_0442","live_measurement_0263|live_measurement_0264|live_measurement_0441","live_measurement_0265|live_measurement_0266|live_measurement_0442",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,2.51246114290634,2.08794298061695
"CP19915","M","SI migrant","migrant",TRUE,"South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point",168.430146,-46.605879,"266406","PTT revealed that the bird left the breeding grounds at Tiwai Point but went to a from Ruapuke Island off shore for much of the winter","live_pheno_058|live_pheno_068",2,"Breast|Primary",FALSE,,-26.9150664294187,-23.2582135681362,11.5217746568784,6.887070132575,-12.6838579153021,-12.5326332611128,4.44121896231716,3.44447314343589,0.214,0.201,2,2,2,2,"live_measurement_0267|live_measurement_0268|live_measurement_0443","live_measurement_0269|live_measurement_0270|live_measurement_0444","live_measurement_0267|live_measurement_0268|live_measurement_0443","live_measurement_0269|live_measurement_0270|live_measurement_0444",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-3.65685286128259,4.63470452430339
"CP19921","F","resident","resident",TRUE,"South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point",168.431945,-46.606263,"266449","PTT revealed that the bird remained at the Awarua Bay / Tiwai Point the full year","live_pheno_086|live_pheno_108",2,"Breast|Primary",FALSE,,-23.3146109134045,-21.715084223013,8.23046560804341,7.0985497127354,-16.7283140923567,-6.94799558396168,3.45776477141372,3.33094505048333,0.2145,0.208,2,2,2,2,"live_measurement_0271|live_measurement_0272|live_measurement_0445","live_measurement_0273|live_measurement_0274|live_measurement_0446","live_measurement_0271|live_measurement_0272|live_measurement_0445","live_measurement_0273|live_measurement_0274|live_measurement_0446",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-1.59952669039146,1.13191589530801
"CP19922","M","resident","resident",TRUE,"South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point",168.431945,-46.606263,"266453","PTT revealed that the bird remained at the Awarua Bay / Tiwai Point the full year","live_pheno_087|live_pheno_109",2,"Breast|Primary",FALSE,,-24.0930877817319,-24.02618742586,5.26440831471433,5.90297598148739,-20.3315138841851,-18.5113024440661,3.46676692818647,3.33853743377839,0.2065,0.2045,2,2,2,2,"live_measurement_0275|live_measurement_0276|live_measurement_0447","live_measurement_0277|live_measurement_0278|live_measurement_0448","live_measurement_0275|live_measurement_0276|live_measurement_0447","live_measurement_0277|live_measurement_0278|live_measurement_0448",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-0.066900355871887,-0.638567666773061
"CP19923","M","resident","resident",TRUE,"South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point",168.433515,-46.606197,"266417","PTT revealed that the bird remained at the Awarua Bay / Tiwai Point the full year","live_pheno_088|live_pheno_110",2,"Breast|Primary",FALSE,,-24.2471613285884,-22.9138281527006,7.4476731567188,7.99842071534426,-10.1704348073123,-6.35742016915515,3.48445336755024,3.45122191232433,0.1865,0.2385,2,2,2,2,"live_measurement_0279|live_measurement_0280|live_measurement_0449","live_measurement_0281|live_measurement_0282|live_measurement_0450","live_measurement_0279|live_measurement_0280|live_measurement_0449","live_measurement_0281|live_measurement_0282|live_measurement_0450",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-1.33333317588775,-0.550747558625456
"CP19931","M","NI migrant","migrant",TRUE,"South Island, New Zealand","Napier, Hawkes Bay","Napier",176.919071981683,-39.5101300254464,,"Resighting at Manukapua Island, North Island on March 29","live_pheno_041|live_pheno_048",2,"Breast|Primary",FALSE,,-13.1476905276339,-22.6179192766812,14.4329986737513,10.077335282573,7.46516994720916,17.5069573341059,3.43788412551935,3.47401006292833,0.2,0.218,2,2,2,2,"live_measurement_0283|live_measurement_0284|live_measurement_0451","live_measurement_0285|live_measurement_0286|live_measurement_0452","live_measurement_0283|live_measurement_0284|live_measurement_0451","live_measurement_0285|live_measurement_0286|live_measurement_0452",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,9.47022874904734,4.35566339117828
"CP19983","F","resident","resident",TRUE,"South Island, New Zealand","Te Anau, Southland","Te Anau",167.744617,-45.414383,,"Resighting at Upukeroa River on Feb 26 (potential resident)","live_pheno_089|live_pheno_111",2,"Breast|Primary",FALSE,,-19.0124766576055,-24.6408048694008,12.5227059718829,8.73732406776946,-9.46882246704472,-31.1279954164657,3.40002722133965,3.46013659586787,0.293,0.199,2,2,2,2,"live_measurement_0301|live_measurement_0302|live_measurement_0459","live_measurement_0303|live_measurement_0304|live_measurement_0460","live_measurement_0301|live_measurement_0302|live_measurement_0459","live_measurement_0303|live_measurement_0304|live_measurement_0460",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,5.62832821179529,3.78538190411343
"CP9059","M","resident","resident",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.662786,-42.413422,,"Ailsa observation April 26","live_pheno_090|live_pheno_112",2,"Breast|Primary",FALSE,,-18.0455411184568,-14.5257161476591,12.5936658463559,14.8629857208597,4.70342211998976,-26.6806306806694,3.43989854944903,3.46208283526748,0.195,0.314,2,2,2,2,"live_measurement_0309|live_measurement_0310|live_measurement_0463","live_measurement_0311|live_measurement_0312|live_measurement_0464","live_measurement_0309|live_measurement_0310|live_measurement_0463","live_measurement_0311|live_measurement_0312|live_measurement_0464",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-3.5198249707976,-2.26931987450378
