sampling_site_label,sampling_location_general,sampling_location_specific,n_live_phenotype_rings,n_status_known,n_status_unknown,grouping_ambiguity,harmonization_note,n_paired_rings_total,n_paired_rings_status_known,n_paired_rings_status_unknown,n_paired_complete_cnh,n_missing_site_fields,source_phenotype_row_ids_paired,n_labelled_rung1,rung1_n_resident,rung1_n_migrant,rung1_n_classes_present,rung1_max_class_prop,n_labelled_rung2,rung2_n_resident,rung2_n_nz_migrant,rung2_n_au_migrant,rung2_n_classes_present,rung2_max_class_prop,n_primary_reference_rings,n_primary_labelled_rings,n_primary_unknown_status_rings,loso_flag_small_assessment,loso_flag_single_class_rung1,loso_flag_missing_rung2_class,validation_unit_note
Tasman River,"South Island, New Zealand","Tasman River, Mt. Cook National Park",25,13,12,FALSE,NA,13,13,0,13,0,live_pheno_004|live_pheno_021|live_pheno_005|live_pheno_022|live_pheno_049|live_pheno_059|live_pheno_008|live_pheno_025|live_pheno_009|live_pheno_026|live_pheno_011|live_pheno_028|live_pheno_054|live_pheno_064|live_pheno_012|live_pheno_029|live_pheno_013|live_pheno_030|live_pheno_014|live_pheno_031|live_pheno_015|live_pheno_032|live_pheno_016|live_pheno_033|live_pheno_017|live_pheno_034,13,0,13,1,1,13,0,2,11,2,0.8461538461538461,13,13,0,FALSE,TRUE,TRUE,Labelled site is class-imbalanced; LOSO assessment would not represent all outcome classes.
Kaitorete,"South Island, New Zealand","Kaitorete Spit, Canterbury",56,23,33,FALSE,sampling_site_label harmonized from 'Kaitorete Spit' to 'Kaitorete',10,10,0,10,0,live_pheno_069|live_pheno_091|live_pheno_002|live_pheno_019|live_pheno_073|live_pheno_095|live_pheno_075|live_pheno_097|live_pheno_076|live_pheno_098|live_pheno_006|live_pheno_023|live_pheno_007|live_pheno_024|live_pheno_052|live_pheno_062|live_pheno_081|live_pheno_103|live_pheno_056|live_pheno_066,10,5,5,2,0.5,10,5,2,3,3,0.5,10,10,0,FALSE,FALSE,FALSE,"Usable as a site validation unit, but still contributes to grouped blocked folds because site sizes remain uneven."
Tiwai Point,"South Island, New Zealand","Tiwai Point, Canterbury",24,23,1,FALSE,NA,7,7,0,7,0,live_pheno_078|live_pheno_100|live_pheno_080|live_pheno_102|live_pheno_053|live_pheno_063|live_pheno_058|live_pheno_068|live_pheno_086|live_pheno_108|live_pheno_087|live_pheno_109|live_pheno_088|live_pheno_110,7,5,2,2,0.7142857142857143,7,5,2,0,2,0.7142857142857143,7,7,0,FALSE,FALSE,TRUE,Labelled site is class-imbalanced; LOSO assessment would not represent all outcome classes.
Kaikoura,"South Island, New Zealand","Kaikoura, Canterbury",24,6,18,FALSE,NA,6,6,0,6,0,live_pheno_035|live_pheno_042|live_pheno_070|live_pheno_092|live_pheno_071|live_pheno_093|live_pheno_050|live_pheno_060|live_pheno_079|live_pheno_101|live_pheno_090|live_pheno_112,6,4,2,2,0.6666666666666666,6,4,2,0,2,0.6666666666666666,6,6,0,FALSE,FALSE,TRUE,Labelled site is class-imbalanced; LOSO assessment would not represent all outcome classes.
Motueka Spit,"South Island, New Zealand","Motueka Spit, Tasman Bay",14,12,2,FALSE,NA,6,6,0,6,0,live_pheno_072|live_pheno_094|live_pheno_074|live_pheno_096|live_pheno_077|live_pheno_099|live_pheno_057|live_pheno_067|live_pheno_082|live_pheno_104|live_pheno_083|live_pheno_105,6,5,1,2,0.8333333333333334,6,5,1,0,2,0.8333333333333334,6,6,0,FALSE,FALSE,TRUE,Labelled site is class-imbalanced; LOSO assessment would not represent all outcome classes.
Te Anau,"South Island, New Zealand","Te Anau, Southland",7,4,3,FALSE,NA,5,4,1,5,0,live_pheno_001|live_pheno_018|live_pheno_084|live_pheno_106|live_pheno_085|live_pheno_107|live_pheno_089|live_pheno_111|live_pheno_130|live_pheno_148,4,3,1,2,0.75,4,3,0,1,2,0.75,5,4,1,FALSE,FALSE,TRUE,Labelled site is class-imbalanced; LOSO assessment would not represent all outcome classes.
Napier,"South Island, New Zealand","Napier, Hawkes Bay",35,3,32,FALSE,NA,5,3,2,5,0,live_pheno_039|live_pheno_046|live_pheno_120|live_pheno_138|live_pheno_121|live_pheno_139|live_pheno_040|live_pheno_047|live_pheno_041|live_pheno_048,3,0,3,1,1,3,0,3,0,1,1,5,3,2,FALSE,TRUE,TRUE,Labelled site is class-imbalanced; LOSO assessment would not represent all outcome classes.
Rangipo Desert,"South Island, New Zealand","Rangipo Desert, Tongariro National Park",20,3,17,FALSE,NA,5,3,2,5,0,live_pheno_117|live_pheno_135|live_pheno_118|live_pheno_136|live_pheno_036|live_pheno_043|live_pheno_037|live_pheno_044|live_pheno_038|live_pheno_045,3,0,3,1,1,3,0,3,0,1,1,5,3,2,FALSE,TRUE,TRUE,Labelled site is class-imbalanced; LOSO assessment would not represent all outcome classes.
Porters Beach,"South Island, New Zealand","Porters Beach, Abel Tasman National Park",6,6,0,FALSE,NA,2,2,0,2,0,live_pheno_051|live_pheno_061|live_pheno_055|live_pheno_065,2,0,2,1,1,2,0,2,0,1,1,2,2,0,TRUE,TRUE,TRUE,Very small labelled site and incomplete Rung 2 class coverage; LOSO assessment would be unstable.
Cass River,"South Island, New Zealand","Cass River, Canterbury",19,1,18,FALSE,NA,5,1,4,5,0,live_pheno_003|live_pheno_020|live_pheno_122|live_pheno_140|live_pheno_123|live_pheno_141|live_pheno_124|live_pheno_142|live_pheno_125|live_pheno_143,1,0,1,1,1,1,0,0,1,1,1,5,1,4,TRUE,TRUE,TRUE,Very small labelled site and incomplete Rung 2 class coverage; LOSO assessment would be unstable.
Pisa Range,"South Island, New Zealand","Pisa Range, Otago",9,1,8,FALSE,NA,5,1,4,4,0,live_pheno_010|live_pheno_027|live_pheno_126|live_pheno_144|live_pheno_127|live_pheno_145|live_pheno_128|live_pheno_146|live_pheno_129|live_pheno_147,1,0,1,1,1,1,0,0,1,1,1,4,1,3,TRUE,TRUE,TRUE,Very small labelled site and incomplete Rung 2 class coverage; LOSO assessment would be unstable.
Chatham Island,"South Island, New Zealand","Chatham Island, Chatham Islands",19,2,17,FALSE,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,FALSE,FALSE,FALSE,Not represented in the current labelled paired live modelling table.
Kina Peninsula,"South Island, New Zealand","Kina Peninsula, Tasman Bay",8,6,2,FALSE,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,FALSE,FALSE,FALSE,Not represented in the current labelled paired live modelling table.
Old Man Range,"South Island, New Zealand","Old Man Range, Otago",11,0,11,FALSE,NA,5,0,5,5,0,live_pheno_113|live_pheno_131|live_pheno_114|live_pheno_132|live_pheno_115|live_pheno_133|live_pheno_116|live_pheno_134|live_pheno_119|live_pheno_137,0,0,0,0,NA,0,0,0,0,0,NA,5,0,5,FALSE,FALSE,FALSE,Not represented in the current labelled paired live modelling table.
