"specimen_id","feather_type","region","museum","species","general_collection_location","specific_collection_location","location_label","collection_date_raw","collection_month","collection_year","geo_region","geo_region_bin","lon","lat","isotopes_available","isotopes_available_n","source_branches_all","source_metadata_row_ids","coordinate_row_ids","coordinate_source","value_mean_normalised_d13c","value_mean_normalised_d15n","value_mean_normalised_d18o","value_mean_normalised_d2h","value_sd_normalised_d13c","value_sd_normalised_d15n","value_sd_normalised_d18o","value_sd_normalised_d2h","n_measurements_normalised_d13c","n_measurements_normalised_d15n","n_measurements_normalised_d18o","n_measurements_normalised_d2h","source_measurement_ids_normalised_d13c","source_measurement_ids_normalised_d15n","source_measurement_ids_normalised_d18o","source_measurement_ids_normalised_d2h","has_d13c","has_d15n","has_d18o","has_d2h","has_all_4_isotopes","has_core_3_isotopes","screening_subset"
"14944","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Fresh Lake, near top of dam (36 26 S, 144 49 E)","Fresh Lake, near top of dam (36 26 S, 144 49 E), Victoria, Australia","28344",8,1977,"Australia",1,142.3157801,-37.5864789,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_053","museum_coord_2","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.9778379174274,11.4204689575833,12.0719148316547,0.124645614686057,,,,,1,1,1,1,"museum_measurement_0097","museum_measurement_0096","museum_measurement_0194","museum_measurement_0201",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
"15202","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Yallock Creek (38 12 S, 145 32 E)","Western Port, Yallock Creek (38 12 S, 145 32 E), Victoria, Australia","28/08/1988",8,1988,"Australia",1,145.484897529636,-38.230407699365,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_059","museum_coord_4","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-20.3527881500677,9.60060360978418,14.1680552197361,-20.4704910979068,,,,,1,1,1,1,"museum_measurement_0101","museum_measurement_0100","museum_measurement_0183","museum_measurement_0203",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
"15209","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","26/06/1988",6,1988,"Australia",1,145.5167602,-38.3376816,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_046","museum_coord_5","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-19.6019111844043,9.82746216769214,14.5597792684034,-16.8823969369959,,,,,1,1,1,1,"museum_measurement_0103","museum_measurement_0102","museum_measurement_0184","museum_measurement_0204",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
"15210","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Werribee (37 50 S, 144 34 E)","Werribee (37 50 S, 144 34 E), Victoria, Australia","29/05/1988",5,1988,"Australia",1,144.6642029,-37.8997197,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_045","museum_coord_6","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.0120601920019,8.83508089895819,14.6493757263432,-16.2538743819165,,,,,1,1,1,1,"museum_measurement_0105","museum_measurement_0104","museum_measurement_0185","museum_measurement_0205",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
"15261","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E)","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E), Victoria, Australia","31/07/1988",7,1988,"Australia",1,144.6601221,-38.2690339,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_050","museum_coord_7","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.2133676894988,10.161254054658,12.8928684230106,-13.4010814119772,,,,,1,1,1,1,"museum_measurement_0107","museum_measurement_0106","museum_measurement_0186","museum_measurement_0206",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
"16885","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_048","museum_coord_8","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,11.7166544577304,-20.3116052535757,,,,,,,1,1,,,"museum_measurement_0187","museum_measurement_0207",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"16886","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_047","museum_coord_9","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.635116909123,11.0976702165953,,,,,,,1,1,,,"museum_measurement_0109","museum_measurement_0108",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"16887","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_052","museum_coord_10","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,14.3597499669562,-2.11142720167909,,,,,,,1,1,,,"museum_measurement_0188","museum_measurement_0208",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"17371","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","38541",7,2005,"Australia",1,145.5167602,-38.3376816,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_060","museum_coord_11","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-20.9466452676836,10.4150957890573,,,,,,,1,1,,,"museum_measurement_0111","museum_measurement_0110",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"244-111733","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Bainham","Bainham, Nelson, New Zealand","27208",6,1974,"New Zealand",0,173.2443635,-41.2985321,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_158","museum_coord_14","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-20.7745273573238,9.143888363247,13.2199996764189,-34.695008059115,,,,,1,1,1,1,"museum_measurement_0123","museum_measurement_0122","museum_measurement_0166","museum_measurement_0212",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
"35514","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E)","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E), Victoria, Australia","43320",8,2018,"Australia",1,145.0167856,-38.4826457,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_057","museum_coord_18","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.3734071500088,13.2303405363116,,,,,,,1,1,,,"museum_measurement_0113","museum_measurement_0112",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"35515","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E)","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E), Victoria, Australia","43320",8,2018,"Australia",1,145.0167856,-38.4826457,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_058","museum_coord_19","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,12.5907408322832,-9.66919371881344,,,,,,,1,1,,,"museum_measurement_0190","museum_measurement_0209",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"35577","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","16/07/2000",7,2000,"Australia",1,145.5167602,-38.3376816,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_056","museum_coord_20","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,13.239794242708,-19.3190555610164,,,,,,,1,1,,,"museum_measurement_0191","museum_measurement_0210",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"390-122989","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"New Zealand",0,175.0286083,-39.9330715,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_171","museum_coord_21","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,15.3328091729542,-40.6280690876332,,,,,,,1,1,,,"museum_measurement_0173","museum_measurement_0215",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"391-122990","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"New Zealand",0,175.0286083,-39.9330715,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_172","museum_coord_22","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-14.1364126273632,13.0534508237578,,,,,,,1,1,,,"museum_measurement_0131","museum_measurement_0130",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"392-122991","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"New Zealand",0,175.0286083,-39.9330715,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_173","museum_coord_23","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-15.7609641321633,12.3608826271489,,,,,,,1,1,,,"museum_measurement_0133","museum_measurement_0132",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"585-122580","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_159","museum_coord_24","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.6320972966606,10.949762434347,,,,,,,1,1,,,"museum_measurement_0135","museum_measurement_0134",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"586-122581","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_160","museum_coord_25","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.2823205135756,10.7958583906561,,,,,,,1,1,,,"museum_measurement_0137","museum_measurement_0136",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"587-122582","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_161","museum_coord_26","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.0855374285883,10.4660640113185,,,,,,,1,1,,,"museum_measurement_0139","museum_measurement_0138",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"588-122583","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_162","museum_coord_27","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,12.3157005427934,-9.9648246113549,,,,,,,1,1,,,"museum_measurement_0168","museum_measurement_0216",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"589-122584","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_163","museum_coord_28","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,13.7690384361202,-65.7353785035957,,,,,,,1,1,,,"museum_measurement_0169","museum_measurement_0217",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"590-122585","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_164","museum_coord_29","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,13.4742035803413,-10.0993706721725,,,,,,,1,1,,,"museum_measurement_0167","museum_measurement_0218",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"591-122586","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27967",7,1976,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_165","museum_coord_30","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-15.7841144943754,8.93202045894529,,,,,,,1,1,,,"museum_measurement_0145","museum_measurement_0144",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"592-122587","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_166","museum_coord_31","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-19.717662995465,10.1832403466139,,,,,,,1,1,,,"museum_measurement_0147","museum_measurement_0146",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"593-122588","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_167","museum_coord_32","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-18.8288903940161,9.63058491699669,,,,,,,1,1,,,"museum_measurement_0149","museum_measurement_0148",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"594-122589","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_168","museum_coord_33","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,15.1744526426419,-19.9894549561888,,,,,,,1,1,,,"museum_measurement_0170","museum_measurement_0219",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"595-122590","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_169","museum_coord_34","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,12.351122398258,-25.3275145932584,,,,,,,1,1,,,"museum_measurement_0171","museum_measurement_0220",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"596-122591","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_170","museum_coord_35","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,15.121319859445,-24.2966144154236,,,,,,,1,1,,,"museum_measurement_0172","museum_measurement_0221",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"A9452","Breast","homogenate","Western Australia Museum, Perth, Australia","Charadrius bicinctus","Western Australia, Australia","Leeman Salt Lake (-29.9500, 114.9667)","Leeman Salt Lake (-29.9500, 114.9667), Western Australia, Australia","23567",7,1964,"Australia",1,115.0067215,-29.9367636,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_066","museum_coord_40","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.7820713822958,7.06118688888492,11.0332210111193,-58.702910680479,,,,,1,1,1,1,"museum_measurement_0153","museum_measurement_0152","museum_measurement_0178","museum_measurement_0223",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
"AV1747","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","North Island, New Zealand","Paraparaumu, Wellington","Paraparaumu, Wellington, North Island, New Zealand","10458",8,1928,"New Zealand",0,174.7787463,-41.2923814,"normalised_d13c|normalised_d15n",2,"museum_triplicate_cn","museum_meta_024","museum_coord_43","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-14.8877483272778,14.2742844003679,,,0.672885581401567,0.498111719108879,,,3,3,,,"museum_measurement_0020|museum_measurement_0022|museum_measurement_0024","museum_measurement_0019|museum_measurement_0021|museum_measurement_0023",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"museum_breast_homogenate_may_august"
"AV2421","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","South Island, New Zealand","Lake Ellesmere, Canterbury","Lake Ellesmere, Canterbury, South Island, New Zealand","3866",8,1910,"New Zealand",0,172.4969331,-43.7927896,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_triplicate_cn|museum_triplicate_h|museum_triplicate_o","museum_meta_038","museum_coord_47","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-19.8406486389898,10.918316471388,14.5460489952358,-19.6711463682269,1.50191291714519,0.552399418129436,0.96089999041259,2.65365859829068,3,3,3,3,"museum_measurement_0050|museum_measurement_0052|museum_measurement_0054","museum_measurement_0049|museum_measurement_0051|museum_measurement_0053","museum_measurement_0075|museum_measurement_0076|museum_measurement_0077","museum_measurement_0060|museum_measurement_0061|museum_measurement_0062",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
"AV3132-OMNZ","Breast","homogenate","Otago Museum, Dunedin, New Zealand","Charadrius bicinctus","South Island, New Zealand","Otago Peninsula","Otago Peninsula, South Island, New Zealand","19535",6,1953,"New Zealand",0,170.6860214,-45.8188569,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_008","museum_coord_48","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-13.3432610872254,10.3661263206102,17.4164477296952,-42.1045274571183,,,,,1,1,1,1,"museum_measurement_0115","museum_measurement_0114","museum_measurement_0179","museum_measurement_0211",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
"AV706","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","North Island, New Zealand","Porirua","Porirua, North Island, New Zealand","3136",8,1908,"New Zealand",0,174.8472141,-41.1380517,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_triplicate_cn|museum_triplicate_h|museum_triplicate_o","museum_meta_018","museum_coord_51","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-16.8316522723212,9.00755148558404,14.5182345579094,-71.5625626597919,1.4523548362118,0.588690280715734,0.361608105263962,4.65370188801109,3,3,3,3,"museum_measurement_0008|museum_measurement_0010|museum_measurement_0012","museum_measurement_0007|museum_measurement_0009|museum_measurement_0011","museum_measurement_0081|museum_measurement_0082|museum_measurement_0083","museum_measurement_0066|museum_measurement_0067|museum_measurement_0068",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
"AV708","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","North Island, New Zealand","Mud Flats Parkhurst, North Auckland","Mud Flats Parkhurst, North Auckland, North Island, New Zealand","9 May 1899",5,1899,"New Zealand",0,174.7644881,-36.8508827,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_016","museum_coord_52","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-15.8626244183992,12.0290894939972,14.4222591236585,-14.2597758600015,,,,,1,1,1,1,"museum_measurement_0085","museum_measurement_0084","museum_measurement_0180","museum_measurement_0195",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
"MNHN-Z0-M0-2003-799","Breast","homogenate","Museum of Natural History, Paris, France","Charadrius bicinctus","South Island, New Zealand","Canterbury Plains","Canterbury Plains, South Island, New Zealand","July, 1874",7,1874,"New Zealand",0,172.1006571,-43.6357606,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_003","museum_coord_53","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-17.632117321397,10.9057898504353,15.8068369446128,-31.1773792101271,,,,,1,1,1,1,"museum_measurement_0087","museum_measurement_0086","museum_measurement_0176","museum_measurement_0196",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"museum_breast_homogenate_may_august"
