"specimen_id","feather_type","region","isotope","museum","species","general_collection_location","specific_collection_location","location_label","collection_date_raw","collection_month","collection_year","geo_region","geo_region_bin","lon","lat","value_mean","value_sd","n_measurements","source_measurement_ids","source_measurement_files","source_measurement_rows","source_branches","feather_replicates","source_metadata_row_ids","coordinate_row_ids","coordinate_source"
"11580","Breast","homogenate","normalised_d13c","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","19/01/1884",1,1884,"Australia",1,144.6601221,-38.2690339,-17.0141033040815,,1,"museum_measurement_0093","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","16","museum_batch_cn",,"museum_meta_044","museum_coord_1","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"11580","Breast","homogenate","normalised_d15n","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","19/01/1884",1,1884,"Australia",1,144.6601221,-38.2690339,12.6297150151544,,1,"museum_measurement_0092","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","16","museum_batch_cn",,"museum_meta_044","museum_coord_1","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"11580","Breast","homogenate","normalised_d18o","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","19/01/1884",1,1884,"Australia",1,144.6601221,-38.2690339,16.3423320536952,,1,"museum_measurement_0179","data/Master_TCEA_O_SI_Breast Feathers_Replication_Batch 4_LEH_Sept25_SB.xls","40","museum_batch_o",,"museum_meta_044","museum_coord_1","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"11580","Breast","homogenate","normalised_d2h","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","19/01/1884",1,1884,"Australia",1,144.6601221,-38.2690339,-4.34795293964586,,1,"museum_measurement_0198","data/Master_TCEA_H_SI_BATCH 4 BREAST Feathers_LE_Nov25_v1.xls","16","museum_batch_h",,"museum_meta_044","museum_coord_1","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"14944","Breast","homogenate","normalised_d13c","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Fresh Lake, near top of dam (36 26 S, 144 49 E)","Fresh Lake, near top of dam (36 26 S, 144 49 E), Victoria, Australia","28344",8,1977,"Australia",1,142.3157801,-37.5864789,-22.9778379174274,,1,"museum_measurement_0095","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","17","museum_batch_cn",,"museum_meta_053","museum_coord_2","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"14944","Breast","homogenate","normalised_d15n","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Fresh Lake, near top of dam (36 26 S, 144 49 E)","Fresh Lake, near top of dam (36 26 S, 144 49 E), Victoria, Australia","28344",8,1977,"Australia",1,142.3157801,-37.5864789,11.4204689575833,,1,"museum_measurement_0094","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","17","museum_batch_cn",,"museum_meta_053","museum_coord_2","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"14944","Breast","homogenate","normalised_d18o","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Fresh Lake, near top of dam (36 26 S, 144 49 E)","Fresh Lake, near top of dam (36 26 S, 144 49 E), Victoria, Australia","28344",8,1977,"Australia",1,142.3157801,-37.5864789,12.0719148316547,,1,"museum_measurement_0192","data/Master_TCEA_O_SI_Breast Feathers_Replication_Batch 4_LEH_Sept25_SB.xls","53","museum_batch_o",,"museum_meta_053","museum_coord_2","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"14944","Breast","homogenate","normalised_d2h","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Fresh Lake, near top of dam (36 26 S, 144 49 E)","Fresh Lake, near top of dam (36 26 S, 144 49 E), Victoria, Australia","28344",8,1977,"Australia",1,142.3157801,-37.5864789,0.124645614686057,,1,"museum_measurement_0199","data/Master_TCEA_H_SI_BATCH 4 BREAST Feathers_LE_Nov25_v1.xls","17","museum_batch_h",,"museum_meta_053","museum_coord_2","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15201","Breast","homogenate","normalised_d13c","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","32118",12,1987,"Australia",1,144.6642029,-37.8997197,-21.5354696978621,,1,"museum_measurement_0097","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","18","museum_batch_cn",,"museum_meta_051","museum_coord_3","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15201","Breast","homogenate","normalised_d15n","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","32118",12,1987,"Australia",1,144.6642029,-37.8997197,10.7408926607665,,1,"museum_measurement_0096","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","18","museum_batch_cn",,"museum_meta_051","museum_coord_3","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15201","Breast","homogenate","normalised_d18o","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","32118",12,1987,"Australia",1,144.6642029,-37.8997197,12.2834041451639,,1,"museum_measurement_0180","data/Master_TCEA_O_SI_Breast Feathers_Replication_Batch 4_LEH_Sept25_SB.xls","41","museum_batch_o",,"museum_meta_051","museum_coord_3","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15201","Breast","homogenate","normalised_d2h","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","32118",12,1987,"Australia",1,144.6642029,-37.8997197,-9.63867206729241,,1,"museum_measurement_0200","data/Master_TCEA_H_SI_BATCH 4 BREAST Feathers_LE_Nov25_v1.xls","18","museum_batch_h",,"museum_meta_051","museum_coord_3","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15202","Breast","homogenate","normalised_d13c","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Yallock Creek (38 12 S, 145 32 E)","Western Port, Yallock Creek (38 12 S, 145 32 E), Victoria, Australia","28/08/1988",8,1988,"Australia",1,145.484897529636,-38.230407699365,-20.3527881500677,,1,"museum_measurement_0099","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","19","museum_batch_cn",,"museum_meta_059","museum_coord_4","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15202","Breast","homogenate","normalised_d15n","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Yallock Creek (38 12 S, 145 32 E)","Western Port, Yallock Creek (38 12 S, 145 32 E), Victoria, Australia","28/08/1988",8,1988,"Australia",1,145.484897529636,-38.230407699365,9.60060360978418,,1,"museum_measurement_0098","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","19","museum_batch_cn",,"museum_meta_059","museum_coord_4","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15202","Breast","homogenate","normalised_d18o","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Yallock Creek (38 12 S, 145 32 E)","Western Port, Yallock Creek (38 12 S, 145 32 E), Victoria, Australia","28/08/1988",8,1988,"Australia",1,145.484897529636,-38.230407699365,14.1680552197361,,1,"museum_measurement_0181","data/Master_TCEA_O_SI_Breast Feathers_Replication_Batch 4_LEH_Sept25_SB.xls","42","museum_batch_o",,"museum_meta_059","museum_coord_4","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15202","Breast","homogenate","normalised_d2h","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Yallock Creek (38 12 S, 145 32 E)","Western Port, Yallock Creek (38 12 S, 145 32 E), Victoria, Australia","28/08/1988",8,1988,"Australia",1,145.484897529636,-38.230407699365,-20.4704910979068,,1,"museum_measurement_0201","data/Master_TCEA_H_SI_BATCH 4 BREAST Feathers_LE_Nov25_v1.xls","19","museum_batch_h",,"museum_meta_059","museum_coord_4","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15209","Breast","homogenate","normalised_d13c","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","26/06/1988",6,1988,"Australia",1,145.5167602,-38.3376816,-19.6019111844043,,1,"museum_measurement_0101","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","20","museum_batch_cn",,"museum_meta_046","museum_coord_5","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15209","Breast","homogenate","normalised_d15n","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","26/06/1988",6,1988,"Australia",1,145.5167602,-38.3376816,9.82746216769214,,1,"museum_measurement_0100","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","20","museum_batch_cn",,"museum_meta_046","museum_coord_5","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15209","Breast","homogenate","normalised_d18o","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","26/06/1988",6,1988,"Australia",1,145.5167602,-38.3376816,14.5597792684034,,1,"museum_measurement_0182","data/Master_TCEA_O_SI_Breast Feathers_Replication_Batch 4_LEH_Sept25_SB.xls","43","museum_batch_o",,"museum_meta_046","museum_coord_5","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15209","Breast","homogenate","normalised_d2h","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","26/06/1988",6,1988,"Australia",1,145.5167602,-38.3376816,-16.8823969369959,,1,"museum_measurement_0202","data/Master_TCEA_H_SI_BATCH 4 BREAST Feathers_LE_Nov25_v1.xls","20","museum_batch_h",,"museum_meta_046","museum_coord_5","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15210","Breast","homogenate","normalised_d13c","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Werribee (37 50 S, 144 34 E)","Werribee (37 50 S, 144 34 E), Victoria, Australia","29/05/1988",5,1988,"Australia",1,144.6642029,-37.8997197,-23.0120601920019,,1,"museum_measurement_0103","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","21","museum_batch_cn",,"museum_meta_045","museum_coord_6","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15210","Breast","homogenate","normalised_d15n","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Werribee (37 50 S, 144 34 E)","Werribee (37 50 S, 144 34 E), Victoria, Australia","29/05/1988",5,1988,"Australia",1,144.6642029,-37.8997197,8.83508089895819,,1,"museum_measurement_0102","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","21","museum_batch_cn",,"museum_meta_045","museum_coord_6","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15210","Breast","homogenate","normalised_d18o","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Werribee (37 50 S, 144 34 E)","Werribee (37 50 S, 144 34 E), Victoria, Australia","29/05/1988",5,1988,"Australia",1,144.6642029,-37.8997197,14.6493757263432,,1,"museum_measurement_0183","data/Master_TCEA_O_SI_Breast Feathers_Replication_Batch 4_LEH_Sept25_SB.xls","44","museum_batch_o",,"museum_meta_045","museum_coord_6","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15210","Breast","homogenate","normalised_d2h","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Werribee (37 50 S, 144 34 E)","Werribee (37 50 S, 144 34 E), Victoria, Australia","29/05/1988",5,1988,"Australia",1,144.6642029,-37.8997197,-16.2538743819165,,1,"museum_measurement_0203","data/Master_TCEA_H_SI_BATCH 4 BREAST Feathers_LE_Nov25_v1.xls","21","museum_batch_h",,"museum_meta_045","museum_coord_6","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15261","Breast","homogenate","normalised_d13c","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E)","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E), Victoria, Australia","31/07/1988",7,1988,"Australia",1,144.6601221,-38.2690339,-23.2133676894988,,1,"museum_measurement_0105","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","22","museum_batch_cn",,"museum_meta_050","museum_coord_7","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15261","Breast","homogenate","normalised_d15n","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E)","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E), Victoria, Australia","31/07/1988",7,1988,"Australia",1,144.6601221,-38.2690339,10.161254054658,,1,"museum_measurement_0104","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","22","museum_batch_cn",,"museum_meta_050","museum_coord_7","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15261","Breast","homogenate","normalised_d18o","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E)","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E), Victoria, Australia","31/07/1988",7,1988,"Australia",1,144.6601221,-38.2690339,12.8928684230106,,1,"museum_measurement_0184","data/Master_TCEA_O_SI_Breast Feathers_Replication_Batch 4_LEH_Sept25_SB.xls","45","museum_batch_o",,"museum_meta_050","museum_coord_7","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"15261","Breast","homogenate","normalised_d2h","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E)","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E), Victoria, Australia","31/07/1988",7,1988,"Australia",1,144.6601221,-38.2690339,-13.4010814119772,,1,"museum_measurement_0204","data/Master_TCEA_H_SI_BATCH 4 BREAST Feathers_LE_Nov25_v1.xls","22","museum_batch_h",,"museum_meta_050","museum_coord_7","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"16885","Breast","homogenate","normalised_d18o","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,11.7166544577304,,1,"museum_measurement_0185","data/Master_TCEA_O_SI_Breast Feathers_Replication_Batch 4_LEH_Sept25_SB.xls","46","museum_batch_o",,"museum_meta_048","museum_coord_8","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"16885","Breast","homogenate","normalised_d2h","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,-20.3116052535757,,1,"museum_measurement_0205","data/Master_TCEA_H_SI_BATCH 4 BREAST Feathers_LE_Nov25_v1.xls","23","museum_batch_h",,"museum_meta_048","museum_coord_8","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"16886","Breast","homogenate","normalised_d13c","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,-21.635116909123,,1,"museum_measurement_0107","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","24","museum_batch_cn",,"museum_meta_047","museum_coord_9","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"16886","Breast","homogenate","normalised_d15n","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,11.0976702165953,,1,"museum_measurement_0106","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","24","museum_batch_cn",,"museum_meta_047","museum_coord_9","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"16887","Breast","homogenate","normalised_d18o","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,14.3597499669562,,1,"museum_measurement_0186","data/Master_TCEA_O_SI_Breast Feathers_Replication_Batch 4_LEH_Sept25_SB.xls","47","museum_batch_o",,"museum_meta_052","museum_coord_10","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"16887","Breast","homogenate","normalised_d2h","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,-2.11142720167909,,1,"museum_measurement_0206","data/Master_TCEA_H_SI_BATCH 4 BREAST Feathers_LE_Nov25_v1.xls","24","museum_batch_h",,"museum_meta_052","museum_coord_10","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"17371","Breast","homogenate","normalised_d13c","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","38541",7,2005,"Australia",1,145.5167602,-38.3376816,-20.9466452676836,,1,"museum_measurement_0109","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","26","museum_batch_cn",,"museum_meta_060","museum_coord_11","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"17371","Breast","homogenate","normalised_d15n","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","38541",7,2005,"Australia",1,145.5167602,-38.3376816,10.4150957890573,,1,"museum_measurement_0108","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","26","museum_batch_cn",,"museum_meta_060","museum_coord_11","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"2291","Breast","homogenate","normalised_d13c","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Altona (37 52 S, 144 49 E)","Altona (37 52 S, 144 49 E), Victoria, Australia","17570",2,1948,"Australia",1,144.8309509,-37.8645245,-18.0729807409152,,1,"museum_measurement_0087","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","13","museum_batch_cn",,"museum_meta_054","museum_coord_12","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"2291","Breast","homogenate","normalised_d15n","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Altona (37 52 S, 144 49 E)","Altona (37 52 S, 144 49 E), Victoria, Australia","17570",2,1948,"Australia",1,144.8309509,-37.8645245,17.1768799423845,,1,"museum_measurement_0086","data/Master_EA_C_N_SI_Batch 3 vane_barb and Batch 4 Breast Feathers_LEH_Sept25_v1_SB.xls","13","museum_batch_cn",,"museum_meta_054","museum_coord_12","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"2291","Breast","homogenate","normalised_d18o","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Altona (37 52 S, 144 49 E)","Altona (37 52 S, 144 49 E), Victoria, Australia","17570",2,1948,"Australia",1,144.8309509,-37.8645245,14.3107844608728,,1,"museum_measurement_0187","data/Master_TCEA_O_SI_Breast Feathers_Replication_Batch 4_LEH_Sept25_SB.xls","48","museum_batch_o",,"museum_meta_054","museum_coord_12","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
"2291","Breast","homogenate","normalised_d2h","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Altona (37 52 S, 144 49 E)","Altona (37 52 S, 144 49 E), Victoria, Australia","17570",2,1948,"Australia",1,144.8309509,-37.8645245,-10.6272083778205,,1,"museum_measurement_0195","data/Master_TCEA_H_SI_BATCH 4 BREAST Feathers_LE_Nov25_v1.xls","13","museum_batch_h",,"museum_meta_054","museum_coord_12","historical_checkpoint:data/CNOH_museum_samples_201125.rds"
