"specimen_id","feather_type","region","museum","species","general_collection_location","specific_collection_location","location_label","collection_date_raw","collection_month","collection_year","geo_region","geo_region_bin","lon","lat","isotopes_available","isotopes_available_n","source_branches_all","source_metadata_row_ids","coordinate_row_ids","coordinate_source","value_mean_normalised_d13c","value_mean_normalised_d15n","value_mean_normalised_d18o","value_mean_normalised_d2h","value_sd_normalised_d13c","value_sd_normalised_d15n","value_sd_normalised_d18o","value_sd_normalised_d2h","n_measurements_normalised_d13c","n_measurements_normalised_d15n","n_measurements_normalised_d18o","n_measurements_normalised_d2h","source_measurement_ids_normalised_d13c","source_measurement_ids_normalised_d15n","source_measurement_ids_normalised_d18o","source_measurement_ids_normalised_d2h","has_d13c","has_d15n","has_d18o","has_d2h","has_all_4_isotopes","has_core_3_isotopes"
"11580","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","19/01/1884",1,1884,"Australia",1,144.6601221,-38.2690339,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_044","museum_coord_1","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-17.0141033040815,12.6297150151544,16.3423320536952,-4.34795293964586,,,,,1,1,1,1,"museum_measurement_0093","museum_measurement_0092","museum_measurement_0179","museum_measurement_0198",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"14944","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Fresh Lake, near top of dam (36 26 S, 144 49 E)","Fresh Lake, near top of dam (36 26 S, 144 49 E), Victoria, Australia","28344",8,1977,"Australia",1,142.3157801,-37.5864789,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_053","museum_coord_2","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.9778379174274,11.4204689575833,12.0719148316547,0.124645614686057,,,,,1,1,1,1,"museum_measurement_0095","museum_measurement_0094","museum_measurement_0192","museum_measurement_0199",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"15201","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","32118",12,1987,"Australia",1,144.6642029,-37.8997197,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_051","museum_coord_3","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.5354696978621,10.7408926607665,12.2834041451639,-9.63867206729241,,,,,1,1,1,1,"museum_measurement_0097","museum_measurement_0096","museum_measurement_0180","museum_measurement_0200",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"15202","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Yallock Creek (38 12 S, 145 32 E)","Western Port, Yallock Creek (38 12 S, 145 32 E), Victoria, Australia","28/08/1988",8,1988,"Australia",1,145.484897529636,-38.230407699365,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_059","museum_coord_4","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-20.3527881500677,9.60060360978418,14.1680552197361,-20.4704910979068,,,,,1,1,1,1,"museum_measurement_0099","museum_measurement_0098","museum_measurement_0181","museum_measurement_0201",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"15209","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","26/06/1988",6,1988,"Australia",1,145.5167602,-38.3376816,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_046","museum_coord_5","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-19.6019111844043,9.82746216769214,14.5597792684034,-16.8823969369959,,,,,1,1,1,1,"museum_measurement_0101","museum_measurement_0100","museum_measurement_0182","museum_measurement_0202",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"15210","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Werribee (37 50 S, 144 34 E)","Werribee (37 50 S, 144 34 E), Victoria, Australia","29/05/1988",5,1988,"Australia",1,144.6642029,-37.8997197,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_045","museum_coord_6","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.0120601920019,8.83508089895819,14.6493757263432,-16.2538743819165,,,,,1,1,1,1,"museum_measurement_0103","museum_measurement_0102","museum_measurement_0183","museum_measurement_0203",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"15261","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E)","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E), Victoria, Australia","31/07/1988",7,1988,"Australia",1,144.6601221,-38.2690339,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_050","museum_coord_7","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.2133676894988,10.161254054658,12.8928684230106,-13.4010814119772,,,,,1,1,1,1,"museum_measurement_0105","museum_measurement_0104","museum_measurement_0184","museum_measurement_0204",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"16885","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_048","museum_coord_8","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,11.7166544577304,-20.3116052535757,,,,,,,1,1,,,"museum_measurement_0185","museum_measurement_0205",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"16886","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_047","museum_coord_9","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.635116909123,11.0976702165953,,,,,,,1,1,,,"museum_measurement_0107","museum_measurement_0106",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"16887","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Australia",1,147.4872048,-42.0801398,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_052","museum_coord_10","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,14.3597499669562,-2.11142720167909,,,,,,,1,1,,,"museum_measurement_0186","museum_measurement_0206",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"17371","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","38541",7,2005,"Australia",1,145.5167602,-38.3376816,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_060","museum_coord_11","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-20.9466452676836,10.4150957890573,,,,,,,1,1,,,"museum_measurement_0109","museum_measurement_0108",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2291","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Altona (37 52 S, 144 49 E)","Altona (37 52 S, 144 49 E), Victoria, Australia","17570",2,1948,"Australia",1,144.8309509,-37.8645245,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_054","museum_coord_12","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-18.0729807409152,17.1768799423845,14.3107844608728,-10.6272083778205,,,,,1,1,1,1,"museum_measurement_0087","museum_measurement_0086","museum_measurement_0187","museum_measurement_0195",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2423-136221","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28935",3,1979,"Australia",1,146.7425129,-41.0875836,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_174","museum_coord_13","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.7850909947582,10.2302110612468,,,,,,,1,1,,,"museum_measurement_0119","museum_measurement_0118",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"244-111733","Breast","Barb","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Bainham","Bainham, Nelson, New Zealand","27208",6,1974,"New Zealand",0,173.2443635,-41.2985321,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_158","museum_coord_14","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-20.664199749866,9.82146798785107,,,,,,,1,1,,,"museum_measurement_0125","museum_measurement_0124",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"244-111733","Breast","Rachis","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Bainham","Bainham, Nelson, New Zealand","27208",6,1974,"New Zealand",0,173.2443635,-41.2985321,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_158","museum_coord_14","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.5392235416826,12.242211077898,,,,,,,1,1,,,"museum_measurement_0123","museum_measurement_0122",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"244-111733","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Bainham","Bainham, Nelson, New Zealand","27208",6,1974,"New Zealand",0,173.2443635,-41.2985321,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_158","museum_coord_14","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-20.7745273573238,9.143888363247,13.2199996764189,-34.695008059115,,,,,1,1,1,1,"museum_measurement_0121","museum_measurement_0120","museum_measurement_0164","museum_measurement_0210",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2448-136246","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"Australia",1,146.7425129,-41.0875836,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_175","museum_coord_15","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.0633936038636,7.64382362571462,,,,,,,1,1,,,"museum_measurement_0127","museum_measurement_0126",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2449-136247","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"Australia",1,146.7425129,-41.0875836,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_176","museum_coord_16","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,14.4430955092259,-35.1676143429927,,,,,,,1,1,,,"museum_measurement_0172","museum_measurement_0211",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2450-136248","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"Australia",1,146.7425129,-41.0875836,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_177","museum_coord_17","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,12.4511370489815,-56.9824380633887,,,,,,,1,1,,,"museum_measurement_0173","museum_measurement_0212",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"35514","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E)","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E), Victoria, Australia","43320",8,2018,"Australia",1,145.0167856,-38.4826457,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_057","museum_coord_18","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.3734071500088,13.2303405363116,,,,,,,1,1,,,"museum_measurement_0111","museum_measurement_0110",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"35515","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E)","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E), Victoria, Australia","43320",8,2018,"Australia",1,145.0167856,-38.4826457,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_058","museum_coord_19","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,12.5907408322832,-9.66919371881344,,,,,,,1,1,,,"museum_measurement_0188","museum_measurement_0207",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"35577","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","16/07/2000",7,2000,"Australia",1,145.5167602,-38.3376816,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_056","museum_coord_20","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,13.239794242708,-19.3190555610164,,,,,,,1,1,,,"museum_measurement_0189","museum_measurement_0208",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"390-122989","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"New Zealand",0,175.0286083,-39.9330715,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_171","museum_coord_21","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,15.3328091729542,-40.6280690876332,,,,,,,1,1,,,"museum_measurement_0171","museum_measurement_0213",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"391-122990","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"New Zealand",0,175.0286083,-39.9330715,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_172","museum_coord_22","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-14.1364126273632,13.0534508237578,,,,,,,1,1,,,"museum_measurement_0129","museum_measurement_0128",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"392-122991","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"New Zealand",0,175.0286083,-39.9330715,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_173","museum_coord_23","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-15.7609641321633,12.3608826271489,,,,,,,1,1,,,"museum_measurement_0131","museum_measurement_0130",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"585-122580","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_159","museum_coord_24","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.6320972966606,10.949762434347,,,,,,,1,1,,,"museum_measurement_0133","museum_measurement_0132",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"586-122581","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_160","museum_coord_25","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.2823205135756,10.7958583906561,,,,,,,1,1,,,"museum_measurement_0135","museum_measurement_0134",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"587-122582","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_161","museum_coord_26","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.0855374285883,10.4660640113185,,,,,,,1,1,,,"museum_measurement_0137","museum_measurement_0136",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"588-122583","Breast","Barb","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_162","museum_coord_27","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.4040572648979,12.5659358213156,,,,,,,1,1,,,"museum_measurement_0141","museum_measurement_0140",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"588-122583","Breast","Rachis","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_162","museum_coord_27","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.359367792549,13.1705924620554,,,,,,,1,1,,,"museum_measurement_0139","museum_measurement_0138",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"588-122583","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_162","museum_coord_27","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,12.3157005427934,-9.9648246113549,,,,,,,1,1,,,"museum_measurement_0166","museum_measurement_0214",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"589-122584","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_163","museum_coord_28","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,13.7690384361202,-65.7353785035957,,,,,,,1,1,,,"museum_measurement_0167","museum_measurement_0215",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
